"Season","Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"2002","SFG","6298","105","93","100","101","104","109","112","97","101","92","109","104","102","91"
"2021","CHW","5289","113","100","104","106","101","109","97","106","102","108","89","96","101","106"
"2020","LAA","2308","114","89","102","104","104","109","106","98","96","100","103","103","96","99"
"2009","TBR","6223","117","113","98","102","102","109","109","101","106","95","102","105","96","98"
"2011","DET","6231","103","102","107","105","106","109","104","108","108","93","104","100","96","106"
"2009","LAA","6305","98","96","107","104","103","108","96","107","101","104","95","96","102","103"
"2007","DET","6364","87","99","106","102","108","108","112","106","108","95","102","108","94","95"
"2015","HOU","6073","104","116","98","99","106","108","119","99","98","93","110","106","96","97"
"2014","PIT","6224","107","100","101","103","102","108","104","101","100","99","101","104","99","95"
"2001","TEX","6388","103","104","103","103","110","108","121","101","","","","","",""
"2021","TBR","5423","110","109","99","101","103","108","110","101","91","100","105","99","105","95"
"2001","SFG","6408","109","99","99","101","105","108","113","97","","","","","",""
"2006","CLE","6303","106","118","102","102","104","108","109","106","105","96","102","100","98","102"
"2013","OAK","6209","113","96","99","102","103","108","110","97","98","86","118","102","101","96"
"2001","OAK","6385","121","97","99","103","102","108","108","97","","","","","",""
"2003","TOR","6364","104","108","104","104","106","108","109","106","109","96","98","95","102","107"
"2016","SEA","6227","101","100","101","101","101","108","103","100","98","106","94","96","103","101"
"2019","OAK","6269","108","93","98","101","102","108","107","94","100","97","104","103","100","95"
"2000","SEA","6444","126","106","98","103","99","107","102","99","","","","","",""
"2006","TOR","6241","99","90","103","102","106","107","110","100","99","97","104","95","108","98"
"2008","STL","6370","99","90","105","103","102","107","96","104","103","102","96","94","102","106"
"2002","BOS","6332","102","92","105","104","104","107","104","103","101","101","97","105","98","95"
"2013","TBR","6242","116","95","100","103","101","107","101","99","96","100","102","104","102","91"
"2014","TOR","6167","106","95","102","102","106","107","113","99","96","101","101","102","96","103"
"2004","STL","6297","96","105","103","101","105","107","109","103","103","98","100","96","102","104"
"2018","TBR","6195","105","103","103","105","98","107","89","108","104","108","89","91","101","113"
"2021","BOS","5386","97","98","106","104","108","106","110","106","103","96","103","99","97","107"
"2021","SFG","5369","104","107","99","100","105","106","112","100","104","93","106","102","99","98"
"2002","OAK","6291","115","99","99","102","102","106","106","97","100","99","101","100","103","97"
"2012","STL","6326","102","98","104","103","102","106","98","104","100","106","92","94","103","106"
"2008","DET","6331","105","101","101","101","105","106","113","100","96","99","103","106","96","96"
"2000","ANA","6373","100","103","101","101","106","106","115","100","","","","","",""
"2012","TEX","6216","96","92","107","104","108","106","111","104","99","100","101","96","101","106"
"2020","BOS","2304","90","100","109","104","107","106","105","110","94","105","98","95","108","97"
"2019","BOS","6475","107","93","106","105","106","106","105","105","98","101","100","97","101","104"
"2010","MIN","6257","105","89","105","104","103","106","101","103","103","106","92","95","103","104"
"2009","BOS","6344","118","101","101","105","106","106","114","100","100","92","109","106","100","91"
"2015","LAD","6090","116","104","96","101","101","106","109","96","101","95","107","102","102","94"
"2000","CHW","6410","96","96","104","102","106","106","109","102","","","","","",""
"2016","DET","6127","100","103","104","103","103","106","103","105","106","95","103","97","101","103"
"2010","CIN","6285","94","105","104","102","106","106","109","104","104","97","102","97","99","106"
"2004","DET","6285","97","111","101","99","103","106","108","103","104","96","102","103","98","96"
"2016","CHC","6335","120","103","98","104","101","106","105","99","100","95","106","110","99","86"
"2005","TEX","6301","100","112","100","100","110","106","128","98","102","90","111","102","104","93"
"2010","TBR","6270","126","118","95","101","99","106","106","99","98","97","105","108","97","92"
"2018","CLE","6300","106","87","104","104","104","106","105","99","105","95","103","99","104","96"
"2002","CHW","6208","106","94","101","102","106","105","113","98","97","95","108","107","88","102"
"2000","HOU","6444","104","108","102","103","107","105","115","101","","","","","",""
"2010","TOR","6072","91","110","95","95","111","105","140","91","94","90","114","110","97","88"
"2007","PHI","6537","111","112","100","103","105","105","113","102","102","97","102","101","100","97"
"2020","TOR","2263","99","94","105","102","106","105","108","102","105","100","97","99","98","104"
"2004","SFG","6466","121","83","100","105","100","105","100","97","96","101","101","104","103","91"
"2017","CLE","6234","115","87","103","104","105","105","107","99","100","99","101","104","100","93"
"2008","TBR","6312","115","115","97","101","100","105","106","100","99","102","99","100","102","98"
"2002","ANA","6327","87","78","107","103","102","105","93","104","106","93","105","99","102","99"
"2000","STL","6369","106","121","99","102","102","105","107","102","","","","","",""
"2021","LAD","5482","108","103","97","100","100","105","105","97","96","94","109","103","97","98"
"2016","STL","6223","98","103","98","99","104","105","114","97","94","96","109","107","94","98"
"2012","DET","6119","104","94","105","104","103","105","99","105","104","100","98","92","104","108"
"2000","NYY","6311","104","102","100","101","101","105","103","100","","","","","",""
"2013","STL","6202","97","94","104","103","100","104","93","105","109","100","94","97","100","105"
"2017","LAD","6191","117","106","95","100","100","104","107","96","98","97","105","101","98","101"
"2003","SEA","6281","113","100","101","103","96","104","86","104","99","106","94","88","101","118"
"2010","MIL","6304","98","105","100","101","103","104","107","101","99","102","99","97","101","103"
"2014","BAL","6130","85","106","101","98","108","104","121","99","95","98","105","103","100","95"
"2016","TOR","6233","126","106","96","102","100","104","107","97","98","98","104","104","94","101"
"2008","NYY","6257","99","96","101","102","102","104","102","100","99","105","94","101","97","102"
"2007","CLE","6367","108","113","99","101","101","104","104","101","100","93","108","103","96","100"
"2013","CLE","6165","112","106","99","102","101","104","104","101","100","100","100","108","95","94"
"2020","BAL","2242","81","97","106","101","104","104","100","106","110","96","99","105","94","100"
"2001","CHW","6151","102","98","100","100","105","104","113","98","","","","","",""
"2015","SFG","6153","93","95","103","101","99","104","93","103","101","105","93","92","104","105"
"2019","NYM","6290","93","101","100","99","99","104","99","100","96","106","96","97","104","99"
"2020","WSN","2218","93","88","107","103","103","104","97","105","109","101","93","91","105","108"
"2009","MIN","6346","105","92","103","102","100","104","95","102","97","107","93","94","102","107"
"2008","CHC","6384","109","108","104","104","104","104","104","106","102","98","101","91","97","118"
"2019","WSN","6267","105","95","103","103","102","104","101","102","97","97","105","103","95","101"
"2011","TBR","6152","115","108","94","100","98","103","106","95","95","99","104","106","98","94"
"2001","NYY","6233","100","101","100","100","101","103","104","99","","","","","",""
"2017","OAK","6126","110","114","96","98","101","103","109","99","102","88","113","97","103","101"
"2013","LAD","6145","97","98","102","101","99","103","93","103","105","97","101","98","99","105"
"2017","MIN","6261","112","101","101","103","101","103","100","103","104","96","102","101","100","98"
"2004","BAL","6431","97","90","104","102","99","103","92","103","105","99","99","103","101","94"
"2015","NYY","6268","115","99","98","101","102","103","108","96","99","94","108","109","96","90"
"2008","CLE","6299","103","114","98","101","101","103","106","101","103","92","108","110","94","92"
"2021","OAK","5298","104","98","97","100","98","103","101","96","98","96","105","103","103","92"
"2002","TEX","6332","104","103","102","102","107","103","116","100","101","95","106","100","104","96"
