"Season","Team","Batting","Base Running","Fielding","Positional","Offense","Defense","League","Replacement","RAR","WAR","Dollars"
"2011","STL","88.7","-16.5","-15.6","33.3","72.3","17.6","8.2","181.5","279.6","29.6","$224.8"
"2015","SFG","25.9","-0.4","26.6","35.4","25.5","62.0","10.2","179.9","277.6","29.5","$235.8"
"2011","CIN","-5.1","8.7","49.4","32.5","3.6","81.9","8.3","184.0","277.8","29.4","$223.4"
"2005","PHI","-12.2","9.2","51.7","36.6","-2.9","88.2","13.0","193.7","291.9","29.3","$137.6"
"2008","TBR","38.2","5.6","48.4","-18.1","43.8","30.3","27.0","192.2","293.3","29.2","$181.3"
"2017","NYY","71.3","11.1","8.9","-15.4","82.3","-6.5","20.8","196.4","293.0","29.2","$233.3"
"2009","LAA","66.8","8.6","10.4","-15.9","75.5","-5.4","29.2","192.0","291.2","29.1","$186.5"
"2015","LAD","43.5","-15.3","22.8","34.5","28.2","57.3","10.1","178.0","273.6","29.0","$232.3"
"2004","ATL","-1.1","14.1","31.3","40.2","13.0","71.5","17.0","196.7","298.3","29.0","$122.0"
"2019","OAK","61.0","-1.7","33.0","-14.7","59.3","18.3","24.1","197.2","298.8","29.0","$232.2"
"2012","SFG","9.4","13.0","29.1","37.6","22.4","66.7","4.7","183.1","277.0","29.0","$188.6"
"2008","NYM","0.7","12.7","33.3","38.6","13.4","72.0","9.9","194.5","289.7","28.9","$179.1"
"2018","CLE","41.3","13.7","32.6","-15.9","55.1","16.8","19.3","188.5","279.6","28.8","$230.3"
"2000","SEA","65.0","-0.5","28.0","-16.0","64.5","12.0","23.5","208.3","308.3","28.8",""
"2012","STL","48.1","-1.6","-4.3","38.1","46.5","33.9","4.8","186.9","272.0","28.5","$185.2"
"2002","NYY","123.9","-1.0","-39.9","-15.5","122.9","-55.4","22.8","194.3","284.6","28.5","$111.1"
"2012","MIL","17.4","12.1","18.4","33.8","29.5","52.2","4.7","183.8","270.3","28.3","$184.1"
"2013","TBR","47.6","2.5","25.9","-16.7","50.1","9.2","24.0","178.4","261.6","28.2","$209.0"
"2003","SFG","-3.4","-8.3","55.4","39.3","-11.7","94.8","11.9","191.6","286.6","28.2","$121.3"
"2002","ANA","37.0","12.5","33.4","-16.9","49.4","16.5","22.6","192.8","281.4","28.2","$109.8"
"2006","NYM","-6.7","20.5","25.2","41.1","13.8","66.4","13.0","197.5","290.8","28.1","$134.7"
"2001","OAK","63.8","0.6","19.0","-18.6","64.5","0.4","22.5","199.2","286.6","28.0",""
"2004","LAD","-21.7","1.7","57.9","39.0","-19.9","96.8","16.8","193.8","287.5","28.0","$117.5"
"2018","MIL","-0.5","8.2","34.0","34.3","7.7","68.3","9.6","185.8","271.4","27.9","$223.5"
"2017","MIA","7.6","1.4","29.1","36.6","9.0","65.7","12.2","193.1","280.0","27.9","$223.0"
"2010","MIN","45.3","-15.8","35.1","-17.1","29.5","17.9","34.9","185.3","267.7","27.8","$166.5"
"2007","NYM","3.2","14.2","19.7","37.8","17.4","57.5","12.9","196.6","284.4","27.7","$155.4"
"2011","TBR","24.7","10.4","38.1","-15.1","35.1","23.1","24.9","178.9","262.0","27.7","$210.7"
"2013","DET","102.7","-19.0","-19.6","-15.7","83.7","-35.3","24.6","182.5","255.6","27.6","$204.1"
"2005","BOS","95.6","-2.9","-18.8","-15.2","92.8","-33.9","20.8","195.4","275.0","27.6","$129.6"
"2019","BOS","51.3","-7.0","25.9","-15.0","44.2","10.9","24.9","203.6","283.7","27.6","$220.4"
"2004","SFG","41.7","-6.0","-13.1","41.5","35.7","28.4","17.4","200.6","282.1","27.5","$115.3"
"2009","LAD","14.7","4.0","16.7","38.7","18.7","55.4","5.6","194.4","274.1","27.4","$175.6"
"2014","BAL","28.1","-6.2","48.9","-14.5","21.9","34.4","19.9","173.2","249.4","27.4","$207.9"
"2012","ATL","-56.1","7.2","87.3","36.4","-48.9","123.8","4.6","180.9","260.5","27.3","$177.4"
