"Season","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch"
"2017","OAK","5.11","-106.72","111.83","5.74","0.79","0.97","1.34","124","3.11","2.15"
"2011","TBR","5.08","-101.91","106.99","24.07","2.67","0.94","1.53","137","4.48","0.90"
"2004","LAD","5.08","-110.13","115.21","26.24","3.06","1.01","1.37","286","5.22","-0.20"
"2004","PHI","5.01","-119.92","124.93","58.98","5.62","1.08","1.45","257","7.37","-2.71"
"2012","STL","4.97","-109.46","114.43","82.06","8.62","1.01","1.38","279","8.31","-3.40"
"2009","TBR","4.96","-107.13","112.10","68.29","7.61","0.99","1.50","138","7.64","-2.63"
"2001","LAD","4.82","-108.59","113.41","41.20","4.14","1.01","1.37","253","4.05","0.74"
"2008","MIN","4.74","-110.02","114.76","79.36","8.26","1.02","1.64","108","2.88","1.78"
"2001","SFG","4.71","-109.88","114.58","60.98","6.25","0.99","1.30","258","10.49","-5.75"
"2000","CLE","4.70","-112.59","117.29","84.96","7.84","0.98","1.84","62","6.39","-1.58"
"2013","DET","4.70","-106.76","111.46","96.79","10.01","0.98","1.46","104","8.95","-4.15"
"2009","LAD","4.69","-115.64","120.33","68.58","7.15","1.06","1.45","260","6.89","-2.47"
"2014","WSN","4.66","-105.21","109.88","43.18","4.94","1.00","1.31","242","4.03","0.62"
"2006","CLE","4.61","-102.94","107.55","95.44","9.16","0.92","1.50","97","5.99","-1.00"
"2021","BOS","4.59","-93.43","98.02","58.69","5.33","0.98","1.82","70","3.33","1.36"
"2007","COL","4.56","-116.62","121.18","29.53","2.29","1.02","1.22","283","2.19","2.29"
"2018","OAK","4.55","-107.90","112.45","93.36","9.81","0.96","1.32","135","8.42","-3.69"
"2005","CIN","4.54","-109.88","114.42","77.61","7.86","0.99","1.03","260","4.70","-0.12"
"2021","OAK","4.52","-91.85","96.37","31.62","3.24","0.99","1.52","133","3.13","1.44"
"2008","MIL","4.51","-110.00","114.51","8.18","1.00","1.01","1.25","249","3.44","1.03"
"2016","WSN","4.50","-105.70","110.20","41.67","4.15","0.99","1.29","219","4.77","-0.21"
"2001","SDP","4.48","-106.01","110.49","45.15","3.93","0.98","1.29","250","0.02","4.54"
"2018","LAD","4.48","-110.21","114.68","121.09","13.32","1.01","1.24","354","13.42","-8.97"
"2001","PHI","4.35","-109.79","114.14","27.49","2.87","1.03","1.33","230","4.23","0.00"
"2012","CIN","4.35","-107.62","111.96","-20.37","-2.25","1.01","1.32","201","-0.02","4.32"
"2007","CLE","4.33","-113.83","118.15","43.05","4.30","1.03","1.58","116","4.40","-0.19"
"2008","HOU","4.30","-102.96","107.26","-11.52","-1.12","0.98","1.18","252","-1.90","6.31"
"2001","HOU","4.25","-112.69","116.94","43.69","4.11","1.01","1.27","246","4.23","0.00"
"2017","MIN","4.23","-101.02","105.25","48.53","4.68","0.92","1.31","104","2.29","2.29"
"2006","BOS","4.21","-114.06","118.27","9.10","0.76","1.02","1.55","93","3.36","0.78"
"2005","TEX","4.04","-110.50","114.54","85.54","8.04","0.97","1.65","57","7.98","-3.82"
"2013","LAA","4.01","-110.45","114.45","68.37","7.59","1.03","1.56","85","7.78","-3.88"
"2004","CLE","4.00","-116.95","120.95","64.63","6.55","1.03","1.88","89","4.37","-0.50"
"2017","WSN","3.98","-102.89","106.87","79.17","7.45","0.94","1.17","241","4.75","-0.53"
"2016","SEA","3.98","-108.45","112.43","66.91","7.30","0.98","1.39","166","7.57","-3.53"
"2006","PHI","3.97","-115.90","119.87","64.21","6.21","1.01","1.37","296","4.93","-1.01"
"2000","NYM","3.94","-110.51","114.45","49.04","4.63","1.01","1.19","287","6.21","-2.31"
